Local time,Ask,Bid,AskVolume,BidVolume
11.04.2022 02:46:45.026 GMT+0530,1.09097,1.09061,0.012,0.9
11.04.2022 02:46:46.087 GMT+0530,1.09109,1.09061,0.23,0.9
11.04.2022 02:46:46.366 GMT+0530,1.09109,1.09058,0.23,0.9
11.04.2022 02:47:05.707 GMT+0530,1.09109,1.09062,0.23,0.9
11.04.2022 02:47:07.146 GMT+0530,1.09108,1.09059,0.23,0.9
11.04.2022 02:47:47.025 GMT+0530,1.09108,1.09058,0.23,0.9
11.04.2022 02:47:47.828 GMT+0530,1.09106,1.09072,0.018,0.44
11.04.2022 02:47:48.684 GMT+0530,1.09106,1.09077,0.018,0.23
11.04.2022 02:47:50.691 GMT+0530,1.0911,1.09072,0.018,0.23
11.04.2022 02:47:57.326 GMT+0530,1.09106,1.09072,0.018,0.13
11.04.2022 02:48:00.435 GMT+0530,1.09091,1.09072,0.44,0.13
11.04.2022 02:48:00.708 GMT+0530,1.09091,1.09071,0.44,0.44
11.04.2022 02:48:03.811 GMT+0530,1.09096,1.09071,0.9,0.44
11.04.2022 02:48:03.862 GMT+0530,1.09114,1.09057,1.15,0.9
11.04.2022 02:48:04.205 GMT+0530,1.09115,1.09062,1.37,0.23
11.04.2022 02:48:04.307 GMT+0530,1.09091,1.0907,0.44,0.44
11.04.2022 02:48:05.108 GMT+0530,1.09091,1.09071,0.44,0.44
11.04.2022 02:48:13.417 GMT+0530,1.09091,1.0907,0.44,0.44
11.04.2022 02:48:17.016 GMT+0530,1.0909,1.09078,0.44,0.23
11.04.2022 02:48:20.483 GMT+0530,1.09091,1.09071,0.44,0.23
11.04.2022 02:48:25.103 GMT+0530,1.09089,1.09071,0.44,0.23
11.04.2022 02:48:25.204 GMT+0530,1.09089,1.0907,0.44,0.44
11.04.2022 02:48:30.527 GMT+0530,1.09088,1.09068,0.44,1.8
